"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-01-01,"中山","PM2.5",12,19,18,14,9,10,19,15,25,21,21,21,20,22,16,22,23,25,27,27,26,23,25,24,"Monday","January",20.17
2018-01-02,"中山","PM2.5",17,7,11,6,7,1,11,13,12,7,5,7,11,12,11,14,16,22,19,21,11,11,9,16,"Tuesday","January",11.54
2018-01-03,"中山","PM2.5",14,14,8,4,1,5,8,15,11,14,9,14,14,12,11,14,17,21,12,6,3,10,12,9,"Wednesday","January",10.75
2018-01-04,"中山","PM2.5",12,13,10,7,11,11,6,1,2,11,20,35,41,41,36,31,23,31,23,20,3,6,7,13,"Thursday","January",17.25
2018-01-05,"中山","PM2.5",7,5,1,4,11,7,14,14,22,13,15,4,8,10,9,15,13,14,8,6,5,4,1,1,"Friday","January",8.79
2018-01-06,"中山","PM2.5",1,4,7,5,4,1,6,9,6,4,1,5,2,12,12,11,12,9,10,1,2,1,7,7,"Saturday","January",5.79
2018-01-07,"中山","PM2.5",6,5,3,4,1,1,2,4,4,1,1,1,1,1,7,8,14,7,9,1,5,2,2,4,"Sunday","January",3.92
2018-01-08,"中山","PM2.5",1,9,6,4,7,3,7,1,5,9,14,14,9,7,4,8,11,15,7,9,3,7,2,4,"Monday","January",6.92
2018-01-09,"中山","PM2.5",2,1,1,5,5,11,7,18,17,25,21,-8,16,19,20,33,29,36,40,37,32,20,24,20,"Tuesday","January",17.96
2018-01-10,"中山","PM2.5",35,29,27,17,14,12,7,7,11,13,16,18,14,7,5,7,13,16,17,19,20,16,15,14,"Wednesday","January",15.38
2018-01-11,"中山","PM2.5",17,15,14,9,12,15,18,16,14,14,17,14,17,13,13,12,10,16,15,21,14,13,9,10,"Thursday","January",14.08
2018-01-12,"中山","PM2.5",10,7,7,11,11,8,6,11,14,13,13,16,19,21,24,28,26,21,19,21,26,22,15,12,"Friday","January",15.88
2018-01-13,"中山","PM2.5",9,10,7,14,11,10,3,13,14,14,7,8,11,9,2,5,2,6,1,7,9,10,4,4,"Saturday","January",7.92
2018-01-14,"中山","PM2.5",4,9,7,7,7,7,8,5,3,4,2,7,1,6,1,7,7,14,14,12,5,4,4,7,"Sunday","January",6.33
2018-01-15,"中山","PM2.5",9,10,7,2,6,7,7,5,1,1,2,4,4,7,12,9,12,7,14,14,18,13,12,21,"Monday","January",8.5
2018-01-16,"中山","PM2.5",18,19,8,12,10,8,19,12,13,4,16,21,24,21,27,28,33,27,29,25,24,21,21,25,"Tuesday","January",19.38
2018-01-18,"中山","PM2.5",20,9,14,6,12,6,16,13,15,11,7,7,8,13,9,10,8,15,11,9,11,4,4,1,"Thursday","January",9.96
2018-01-19,"中山","PM2.5",4,7,5,2,1,1,1,1,3,1,6,3,7,17,18,18,14,21,21,23,28,26,20,19,"Friday","January",11.12
2018-01-20,"中山","PM2.5",21,14,7,2,14,11,21,23,33,32,27,28,27,30,26,29,30,24,18,13,14,16,20,21,"Saturday","January",20.88
2018-01-21,"中山","PM2.5",16,15,14,17,9,10,8,10,6,4,8,9,9,6,13,11,18,19,18,13,10,21,25,24,"Sunday","January",13.04
2018-01-22,"中山","PM2.5",21,18,17,19,18,29,27,30,29,27,20,14,5,4,1,6,6,14,11,9,14,10,13,8,"Monday","January",15.42
2018-01-23,"中山","PM2.5",14,20,13,9,11,17,18,16,14,18,7,10,10,16,13,12,6,13,9,21,20,22,21,22,"Tuesday","January",14.67
2018-01-24,"中山","PM2.5",22,16,14,19,25,21,19,22,28,28,22,21,16,16,18,17,11,11,15,23,23,18,14,12,"Wednesday","January",18.79
2018-01-25,"中山","PM2.5",14,12,13,7,8,3,8,11,15,7,-8,5,1,7,2,9,10,16,16,15,11,12,8,10,"Thursday","January",8.83
2018-01-26,"中山","PM2.5",4,6,7,4,3,1,6,9,15,7,8,5,1,1,2,12,7,10,5,11,6,5,6,12,"Friday","January",6.38
2018-01-27,"中山","PM2.5",9,5,1,1,5,6,7,4,6,10,7,7,7,6,10,7,11,9,12,14,15,12,4,1,"Saturday","January",7.33
2018-01-28,"中山","PM2.5",1,7,21,23,20,20,19,21,14,14,11,13,7,12,9,11,1,1,1,6,9,4,4,5,"Sunday","January",10.58
2018-01-29,"中山","PM2.5",7,4,5,2,1,1,1,7,4,11,6,5,3,11,-8,7,16,7,18,19,21,21,14,16,"Monday","January",8.29
2018-01-30,"中山","PM2.5",14,14,14,7,6,1,7,6,11,7,4,4,3,9,6,2,6,6,15,10,10,6,3,6,"Tuesday","January",7.38
2018-01-31,"中山","PM2.5",3,8,7,5,2,4,11,11,6,2,7,7,6,6,14,20,15,11,9,10,8,9,4,6,"Wednesday","January",7.96
2018-02-01,"中山","PM2.5",7,7,3,1,6,12,12,16,16,14,27,35,40,29,36,48,52,45,48,39,38,22,16,14,"Thursday","February",24.29
2018-02-02,"中山","PM2.5",10,14,8,6,14,15,24,12,19,19,22,16,11,10,10,6,5,10,15,20,16,23,21,21,"Friday","February",14.46
2018-02-03,"中山","PM2.5",21,21,31,29,32,26,35,33,33,28,34,37,37,35,28,21,16,17,18,18,10,13,11,16,"Saturday","February",25
2018-02-04,"中山","PM2.5",8,7,8,12,7,5,9,17,13,10,5,6,1,5,9,17,8,14,16,21,10,3,6,7,"Sunday","February",9.33
2018-02-05,"中山","PM2.5",6,1,3,5,10,9,10,10,13,16,14,14,11,16,14,17,16,23,22,21,20,19,17,12,"Monday","February",13.29
2018-02-06,"中山","PM2.5",10,14,19,26,28,22,18,20,23,24,19,19,17,23,20,17,22,27,33,29,31,39,32,36,"Tuesday","February",23.67
2018-02-07,"中山","PM2.5",27,26,26,23,28,16,14,5,14,17,25,15,13,7,9,15,19,18,13,17,21,21,18,19,"Wednesday","February",17.75
2018-02-08,"中山","PM2.5",14,20,17,25,14,14,12,14,18,19,16,14,14,14,667,25,14,16,14,23,22,20,13,11,"Thursday","February",43.75
2018-02-09,"中山","PM2.5",5,6,7,12,13,11,10,10,11,22,20,16,8,14,12,17,30,30,41,32,42,28,41,35,"Friday","February",19.71
2018-02-11,"中山","PM2.5",7,11,8,6,7,11,20,9,14,10,9,13,24,27,29,20,29,30,40,32,26,21,21,22,"Sunday","February",18.58
2018-02-12,"中山","PM2.5",29,29,28,21,26,24,22,17,25,27,23,21,21,29,29,20,26,27,31,23,26,33,22,23,"Monday","February",25.08
2018-02-13,"中山","PM2.5",17,26,26,31,30,27,22,21,17,14,15,19,21,21,23,25,28,21,23,25,27,20,18,19,"Tuesday","February",22.33
2018-02-14,"中山","PM2.5",22,17,16,7,6,8,8,16,9,9,10,19,19,19,32,32,30,35,35,48,40,40,32,26,"Wednesday","February",22.29
2018-02-15,"中山","PM2.5",31,26,30,28,19,13,8,19,27,31,32,26,5,4,19,31,36,41,40,44,39,36,33,38,"Thursday","February",27.33
2018-02-16,"中山","PM2.5",37,42,34,38,43,46,43,31,32,43,45,53,45,51,47,51,43,41,41,45,45,36,36,28,"Friday","February",41.5
2018-02-17,"中山","PM2.5",24,14,17,19,20,15,19,21,21,19,16,20,19,22,15,17,21,28,24,18,15,23,22,21,"Saturday","February",19.58
2018-02-18,"中山","PM2.5",13,9,10,11,10,12,12,13,19,23,31,25,28,27,31,35,42,40,36,27,28,41,45,49,"Sunday","February",25.71
2018-02-19,"中山","PM2.5",46,30,21,1,2,4,7,7,6,13,27,38,45,33,33,29,33,36,27,30,24,36,47,49,"Monday","February",26
2018-02-20,"中山","PM2.5",51,45,49,39,34,31,23,23,13,21,23,21,18,17,18,26,16,21,12,16,16,20,15,17,"Tuesday","February",24.38
2018-02-21,"中山","PM2.5",12,16,12,16,7,7,5,9,14,20,17,12,7,15,676,9,1,1,4,16,16,15,4,1,"Wednesday","February",38
2018-02-22,"中山","PM2.5",1,7,14,17,7,1,6,9,22,10,18,13,15,4,2,7,14,18,14,16,7,13,7,14,"Thursday","February",10.67
2018-02-23,"中山","PM2.5",14,16,8,8,14,27,21,23,27,34,32,27,29,25,25,27,26,33,26,35,30,28,28,22,"Friday","February",24.38
2018-02-24,"中山","PM2.5",24,19,21,20,20,16,22,22,29,31,37,32,37,36,53,47,41,29,35,43,58,49,52,41,"Saturday","February",33.92
2018-02-25,"中山","PM2.5",46,43,37,44,34,39,29,36,30,24,17,16,22,14,13,3,9,16,19,16,7,4,12,5,"Sunday","February",22.29
2018-02-26,"中山","PM2.5",13,6,7,4,3,3,7,12,16,14,15,20,24,21,26,21,23,21,14,21,20,23,15,17,"Monday","February",15.25
2018-02-27,"中山","PM2.5",19,17,13,16,14,14,11,15,20,21,17,17,14,28,32,38,35,36,38,40,36,35,36,41,"Tuesday","February",25.12
2018-02-28,"中山","PM2.5",42,34,43,39,51,37,43,27,33,29,33,28,37,55,41,28,20,19,26,27,33,27,33,26,"Wednesday","February",33.79
2018-03-01,"中山","PM2.5",27,18,11,12,8,14,11,14,12,17,15,15,10,10,14,9,9,8,16,14,14,7,5,4,"Thursday","March",12.25
2018-03-02,"中山","PM2.5",11,10,3,1,4,4,2,1,9,13,20,28,42,48,49,50,58,53,59,58,68,64,73,68,"Friday","March",33.17
2018-03-03,"中山","PM2.5",65,51,51,51,54,55,65,66,68,68,71,67,68,59,57,51,48,48,48,47,49,46,47,46,"Saturday","March",56.08
2018-03-04,"中山","PM2.5",40,36,40,39,39,31,34,31,43,44,60,56,65,60,58,51,38,47,46,52,43,40,39,37,"Sunday","March",44.54
2018-03-05,"中山","PM2.5",35,37,36,37,42,41,40,30,30,33,41,49,43,31,17,26,27,26,13,9,5,2,1,1,"Monday","March",27.17
2018-03-06,"中山","PM2.5",10,13,16,4,7,7,11,10,15,17,16,14,10,13,686,10,18,7,14,5,21,14,15,9,"Tuesday","March",40.08
2018-03-07,"中山","PM2.5",8,14,7,8,9,10,14,14,15,10,7,11,10,11,7,17,21,21,16,7,9,8,13,10,"Wednesday","March",11.54
2018-03-08,"中山","PM2.5",4,4,1,5,8,10,6,10,7,11,2,2,4,5,11,8,17,14,14,7,11,21,15,20,"Thursday","March",9.04
2018-03-09,"中山","PM2.5",14,21,17,24,29,30,36,41,49,48,680,22,36,33,31,27,31,36,34,28,23,16,16,15,"Friday","March",55.71
2018-03-10,"中山","PM2.5",17,14,16,7,14,14,23,25,19,19,7,1,7,7,6,12,13,20,10,12,10,14,10,3,"Saturday","March",12.5
2018-03-11,"中山","PM2.5",4,7,12,7,10,13,10,6,1,7,5,8,9,12,11,14,15,21,14,13,14,14,20,18,"Sunday","March",11.04
2018-03-12,"中山","PM2.5",20,7,6,7,7,2,1,6,7,9,14,21,18,22,22,22,22,18,29,23,24,14,11,8,"Monday","March",14.17
2018-03-13,"中山","PM2.5",14,10,14,4,3,1,1,3,1,15,36,53,43,35,35,31,34,27,32,24,25,29,38,47,"Tuesday","March",23.12
2018-03-14,"中山","PM2.5",35,29,10,15,9,19,21,16,10,5,21,34,34,32,34,33,33,26,34,26,29,14,20,14,"Wednesday","March",23.04
2018-03-15,"中山","PM2.5",17,12,3,11,9,16,13,24,34,37,43,38,34,31,36,45,33,26,21,17,20,18,27,20,"Thursday","March",24.38
2018-03-16,"中山","PM2.5",24,21,24,17,19,13,9,2,8,10,10,7,6,12,21,24,19,19,14,14,15,13,13,9,"Friday","March",14.29
2018-03-17,"中山","PM2.5",12,10,10,12,11,12,14,13,12,12,10,12,7,11,14,18,17,18,26,25,21,12,14,14,"Saturday","March",14.04
2018-03-18,"中山","PM2.5",7,11,7,19,7,14,8,17,15,15,15,11,11,14,28,34,33,24,21,26,32,30,29,29,"Sunday","March",19.04
2018-03-19,"中山","PM2.5",33,28,28,23,31,26,26,17,21,24,26,25,27,34,34,43,35,43,32,38,35,41,34,30,"Monday","March",30.58
2018-03-20,"中山","PM2.5",26,25,25,23,22,18,18,11,17,16,16,665,1,1,4,14,9,16,19,19,14,11,14,10,"Tuesday","March",42.25
2018-03-21,"中山","PM2.5",4,6,7,4,7,3,8,7,7,5,1,4,10,15,13,16,13,16,11,18,15,13,13,14,"Wednesday","March",9.58
2018-03-22,"中山","PM2.5",21,15,4,1,1,4,11,8,13,6,13,8,11,12,14,14,16,17,26,24,21,9,13,16,"Thursday","March",12.42
2018-03-23,"中山","PM2.5",21,14,16,21,21,11,11,7,15,14,14,14,20,21,21,21,21,21,17,20,24,23,19,18,"Friday","March",17.71
2018-03-24,"中山","PM2.5",20,21,21,20,24,20,10,14,18,31,25,24,19,19,17,21,24,26,32,29,31,23,23,29,"Saturday","March",22.54
2018-03-25,"中山","PM2.5",27,27,25,31,25,18,14,21,24,24,23,18,14,12,13,11,18,16,16,10,9,9,6,7,"Sunday","March",17.42
2018-03-26,"中山","PM2.5",13,10,14,13,16,13,10,11,10,18,28,41,54,44,39,23,28,27,20,23,31,43,32,27,"Monday","March",24.5
2018-03-27,"中山","PM2.5",26,33,21,14,14,17,20,20,20,14,17,21,34,31,24,24,18,21,21,30,25,23,17,23,"Tuesday","March",22
2018-03-28,"中山","PM2.5",20,14,11,15,17,19,14,12,9,10,9,9,14,18,20,13,14,23,22,23,21,16,14,7,"Wednesday","March",15.17
2018-03-29,"中山","PM2.5",17,14,16,10,2,8,6,14,12,13,18,12,10,5,10,13,8,14,14,22,15,15,21,15,"Thursday","March",12.67
2018-03-30,"中山","PM2.5",16,11,19,9,4,2,13,15,16,12,10,8,5,1,2,7,18,20,14,18,13,20,10,17,"Friday","March",11.67
2018-03-31,"中山","PM2.5",14,18,12,10,1,11,11,16,4,10,8,20,17,28,27,23,21,17,28,25,31,29,38,30,"Saturday","March",18.71
2018-04-01,"中山","PM2.5",28,22,26,21,14,18,21,25,23,28,24,19,17,19,22,26,31,27,28,34,33,32,21,26,"Sunday","April",24.38
2018-04-02,"中山","PM2.5",18,18,14,22,27,22,15,13,17,27,34,37,43,37,50,41,44,36,42,43,38,27,23,21,"Monday","April",29.54
2018-04-03,"中山","PM2.5",22,18,20,23,27,26,22,19,20,21,23,26,32,676,61,49,48,38,40,33,29,27,21,19,"Tuesday","April",55.83
2018-04-04,"中山","PM2.5",15,14,17,7,14,10,21,17,21,39,45,42,31,20,19,25,31,31,36,32,23,27,26,29,"Wednesday","April",24.67
2018-04-05,"中山","PM2.5",24,21,19,15,18,14,17,16,21,22,21,27,32,34,30,29,24,24,19,16,15,17,26,29,"Thursday","April",22.08
2018-04-06,"中山","PM2.5",29,19,14,16,24,17,16,18,25,29,20,16,5,8,2,6,9,13,19,21,33,36,35,29,"Friday","April",19.12
2018-04-07,"中山","PM2.5",30,29,28,29,27,28,27,31,33,31,38,40,39,30,26,25,21,27,22,26,21,26,21,20,"Saturday","April",28.12
2018-04-08,"中山","PM2.5",18,18,19,21,18,11,8,14,20,13,14,7,15,18,19,14,14,21,24,19,16,17,17,16,"Sunday","April",16.29
2018-04-09,"中山","PM2.5",19,19,18,14,12,7,10,13,15,16,16,10,19,13,24,16,24,14,18,12,15,7,9,13,"Monday","April",14.71
2018-04-10,"中山","PM2.5",17,13,12,18,24,19,17,12,18,11,19,19,29,33,36,28,29,22,27,17,26,28,24,18,"Tuesday","April",21.5
2018-04-11,"中山","PM2.5",20,15,14,5,4,5,13,18,28,38,43,47,43,51,42,32,25,21,21,23,21,25,26,29,"Wednesday","April",25.38
2018-04-12,"中山","PM2.5",34,33,34,31,29,29,21,21,18,33,31,33,20,24,25,34,32,37,30,21,19,18,25,17,"Thursday","April",27.04
2018-04-13,"中山","PM2.5",14,14,14,19,12,14,6,12,11,14,23,33,37,38,37,44,43,36,31,27,25,19,16,23,"Friday","April",23.42
2018-04-14,"中山","PM2.5",21,17,14,15,21,16,14,14,14,23,25,28,26,24,23,31,29,23,18,20,17,14,15,18,"Saturday","April",20
2018-04-15,"中山","PM2.5",12,2,4,9,15,7,1,1,2,10,4,6,6,9,17,18,30,30,37,39,39,36,32,38,"Sunday","April",16.83
2018-04-16,"中山","PM2.5",42,36,27,22,22,21,22,20,21,16,20,16,13,13,9,11,5,14,12,9,11,22,22,21,"Monday","April",18.62
2018-04-17,"中山","PM2.5",13,18,15,8,12,15,21,20,17,18,14,14,14,20,19,15,16,14,18,19,23,25,19,17,"Tuesday","April",16.83
2018-04-18,"中山","PM2.5",13,22,19,19,14,16,17,10,11,11,11,29,29,23,9,12,19,17,22,22,30,22,21,12,"Wednesday","April",17.92
2018-04-19,"中山","PM2.5",18,16,21,16,21,15,13,11,14,21,26,27,20,7,659,11,7,19,24,27,11,5,5,12,"Thursday","April",42.75
2018-04-20,"中山","PM2.5",13,9,14,7,13,7,16,13,19,12,20,13,17,16,10,7,19,22,18,14,16,16,17,16,"Friday","April",14.33
2018-04-21,"中山","PM2.5",18,15,14,7,9,12,16,14,12,22,27,36,31,41,51,67,62,60,59,52,31,19,20,24,"Saturday","April",29.96
2018-04-22,"中山","PM2.5",21,20,20,21,29,24,15,8,15,30,36,43,41,39,33,25,24,21,17,21,14,23,11,14,"Sunday","April",23.54
2018-04-23,"中山","PM2.5",7,7,6,5,13,15,20,13,15,17,16,21,26,34,29,42,36,31,20,17,16,14,12,12,"Monday","April",18.5
2018-04-24,"中山","PM2.5",9,10,12,7,7,9,9,16,11,16,20,28,32,19,7,1,3,11,9,8,15,23,28,21,"Tuesday","April",13.79
2018-04-25,"中山","PM2.5",14,17,23,23,18,14,14,14,12,13,13,20,19,24,26,28,29,28,31,28,29,26,18,19,"Wednesday","April",20.83
2018-04-26,"中山","PM2.5",14,29,35,37,32,23,20,23,17,24,14,14,25,23,12,15,16,20,11,14,15,14,13,16,"Thursday","April",19.83
2018-04-27,"中山","PM2.5",20,17,16,18,20,8,13,15,31,28,34,31,28,31,26,26,26,30,30,26,21,24,24,26,"Friday","April",23.71
2018-04-28,"中山","PM2.5",29,22,24,20,25,15,20,19,21,18,21,32,32,28,24,21,18,14,22,28,37,27,24,12,"Saturday","April",23.04
2018-04-29,"中山","PM2.5",13,10,13,12,14,8,15,15,20,27,37,51,54,47,47,41,46,46,51,49,51,48,52,42,"Sunday","April",33.71
2018-04-30,"中山","PM2.5",38,25,14,7,9,12,13,9,6,9,21,36,45,45,40,37,29,27,34,33,40,31,36,36,"Monday","April",26.33
2018-05-01,"中山","PM2.5",27,29,21,21,21,13,15,6,13,20,30,33,29,30,37,36,36,35,43,43,46,41,46,48,"Tuesday","May",29.96
2018-05-02,"中山","PM2.5",51,37,27,23,27,25,27,29,31,29,28,33,29,27,19,21,23,19,22,23,36,29,30,14,"Wednesday","May",27.46
2018-05-03,"中山","PM2.5",16,25,39,41,40,41,40,33,29,36,33,29,24,673,101,102,103,34,39,35,29,15,17,16,"Thursday","May",66.25
2018-05-05,"中山","PM2.5",7,3,6,9,9,8,6,7,11,18,21,21,28,29,39,36,37,42,37,39,19,18,14,17,"Saturday","May",20.04
2018-05-06,"中山","PM2.5",14,14,14,18,13,14,8,18,14,17,14,27,32,34,32,30,29,29,25,25,16,19,19,18,"Sunday","May",20.54
2018-05-07,"中山","PM2.5",21,11,21,8,14,7,9,7,12,17,23,22,29,24,24,20,18,20,21,23,19,11,21,15,"Monday","May",17.38
