"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-01-01,"古亭","PM2.5",12,12,9,10,9,11,13,17,16,12,14,16,19,21,18,19,17,22,28,28,31,27,21,18,"Monday","January",17.5
2018-01-02,"古亭","PM2.5",17,14,10,10,9,9,9,13,11,11,7,7,6,6,10,5,8,5,8,6,6,3,2,3,"Tuesday","January",8.12
2018-01-03,"古亭","PM2.5",3,8,5,10,5,7,5,9,9,10,8,10,13,13,1,11,8,4,8,6,8,7,5,8,"Wednesday","January",7.54
2018-01-04,"古亭","PM2.5",9,9,4,1,1,3,3,4,7,10,14,27,40,54,50,42,33,27,21,19,12,8,6,9,"Thursday","January",17.21
2018-01-05,"古亭","PM2.5",11,7,8,5,10,8,10,8,11,13,10,6,3,7,8,10,6,8,10,10,8,1,5,4,"Friday","January",7.79
2018-01-06,"古亭","PM2.5",4,1,2,3,6,5,4,2,1,1,4,5,8,5,10,7,8,7,10,9,7,3,6,3,"Saturday","January",5.04
2018-01-07,"古亭","PM2.5",7,4,4,1,1,4,6,9,5,8,4,7,10,10,7,2,4,4,2,1,2,2,2,1,"Sunday","January",4.46
2018-01-08,"古亭","PM2.5",1,5,4,4,1,6,6,8,7,10,8,1,1,3,7,4,9,8,8,3,6,7,11,8,"Monday","January",5.67
2018-01-09,"古亭","PM2.5",6,5,4,4,10,10,17,9,14,8,14,19,26,28,29,28,28,28,28,23,22,25,29,25,"Tuesday","January",18.29
2018-01-11,"古亭","PM2.5",10,12,10,11,6,5,2,8,14,24,18,16,10,17,13,13,12,17,16,16,12,11,10,13,"Thursday","January",12.33
2018-01-12,"古亭","PM2.5",15,10,8,6,8,5,4,7,11,15,17,19,23,23,24,19,29,27,32,19,20,12,16,9,"Friday","January",15.75
2018-01-13,"古亭","PM2.5",9,4,3,1,5,5,9,5,11,9,10,3,9,6,9,7,9,5,4,2,3,5,5,5,"Saturday","January",5.96
2018-01-14,"古亭","PM2.5",3,4,3,3,4,4,3,3,3,5,4,5,7,6,10,6,6,5,3,5,4,5,3,4,"Sunday","January",4.5
2018-01-15,"古亭","PM2.5",9,9,7,1,3,4,5,3,3,6,10,10,10,10,1,8,8,4,6,4,5,6,10,9,"Monday","January",6.29
2018-01-16,"古亭","PM2.5",11,8,12,8,14,12,12,4,10,11,16,11,14,16,19,23,26,25,23,25,25,25,20,19,"Tuesday","January",16.21
2018-01-17,"古亭","PM2.5",18,10,12,10,10,10,15,18,22,19,20,13,13,13,14,20,25,25,27,23,26,15,17,16,"Wednesday","January",17.12
2018-01-18,"古亭","PM2.5",15,10,8,9,13,11,13,10,8,5,7,7,10,8,9,10,14,10,12,9,10,10,9,10,"Thursday","January",9.88
2018-01-19,"古亭","PM2.5",5,10,6,7,7,7,10,6,6,1,1,2,3,11,11,17,12,18,14,19,19,29,25,25,"Friday","January",11.29
2018-01-20,"古亭","PM2.5",19,20,15,13,10,15,21,20,19,12,18,22,27,32,28,26,25,26,26,23,22,14,13,11,"Saturday","January",19.88
2018-01-21,"古亭","PM2.5",14,12,13,12,11,8,10,8,9,5,5,3,1,5,5,10,10,11,11,10,13,14,16,16,"Sunday","January",9.67
2018-01-22,"古亭","PM2.5",18,13,17,18,21,20,20,24,23,18,14,14,14,18,569,14,14,9,8,10,9,10,6,10,"Monday","January",37.96
2018-01-23,"古亭","PM2.5",9,10,6,6,3,8,13,14,9,1,6,8,15,9,13,10,13,14,15,19,13,10,10,15,"Tuesday","January",10.38
2018-01-24,"古亭","PM2.5",19,18,18,16,25,27,32,27,24,15,17,17,19,17,20,16,19,12,15,8,9,10,7,10,"Wednesday","January",17.38
2018-01-25,"古亭","PM2.5",13,13,10,5,5,6,5,6,3,5,10,9,7,9,9,17,8,10,5,9,10,10,8,4,"Thursday","January",8.17
