"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-01-01,"士林","PM2.5",16,19,14,17,12,15,25,21,21,21,23,25,18,25,20,22,22,26,32,33,28,19,10,16,"Monday","January",20.83
2018-01-03,"士林","PM2.5",14,5,9,6,14,12,9,5,4,7,12,9,11,8,7,7,9,12,10,5,6,5,7,9,"Wednesday","January",8.42
2018-01-04,"士林","PM2.5",7,9,5,9,5,8,2,4,5,7,14,18,36,30,30,16,22,18,16,7,9,6,11,10,"Thursday","January",12.67
2018-01-05,"士林","PM2.5",9,1,4,4,6,1,2,6,9,12,9,9,6,6,6,1,1,1,1,5,5,4,2,2,"Friday","January",4.67
2018-01-06,"士林","PM2.5",1,1,1,1,1,1,6,9,9,7,13,12,7,1,1,5,2,2,1,1,1,2,8,8,"Saturday","January",4.21
2018-01-07,"士林","PM2.5",6,4,4,4,4,4,1,1,2,4,7,2,3,1,1,1,1,1,1,5,2,1,1,1,"Sunday","January",2.58
2018-01-08,"士林","PM2.5",2,4,3,1,1,1,1,1,1,3,6,12,9,5,1,2,4,4,1,1,1,1,1,1,"Monday","January",2.79
2018-01-09,"士林","PM2.5",1,1,1,3,7,2,1,6,9,17,14,22,22,29,29,31,36,34,30,19,23,28,31,29,"Tuesday","January",17.71
2018-01-10,"士林","PM2.5",23,16,18,16,18,15,18,21,22,29,27,24,14,-5,10,10,4,9,10,11,10,9,11,10,"Wednesday","January",14.58
2018-01-11,"士林","PM2.5",11,16,11,13,10,7,9,13,20,20,18,17,12,10,9,12,15,12,12,9,16,8,13,7,"Thursday","January",12.5
2018-01-12,"士林","PM2.5",10,9,12,14,12,15,12,17,17,22,15,12,15,22,31,29,31,28,23,23,24,19,12,9,"Friday","January",18.04
2018-01-13,"士林","PM2.5",18,11,4,2,2,6,5,8,7,6,1,3,1,1,3,3,7,7,4,9,3,8,1,4,"Saturday","January",5.17
2018-01-14,"士林","PM2.5",1,7,7,4,1,1,2,3,2,1,1,5,6,9,3,1,2,1,3,1,1,2,2,3,"Sunday","January",2.88
2018-01-15,"士林","PM2.5",1,5,10,10,4,2,2,2,1,7,11,9,1,6,9,13,10,5,10,3,6,1,4,9,"Monday","January",5.88
2018-01-16,"士林","PM2.5",10,8,1,10,13,12,10,3,13,13,17,22,21,27,16,19,14,25,28,31,23,25,23,28,"Tuesday","January",17.17
2018-01-17,"士林","PM2.5",17,15,8,16,19,34,35,31,28,25,-5,-5,17,13,20,19,20,20,18,20,23,19,15,17,"Wednesday","January",18.29
2018-01-19,"士林","PM2.5",7,12,5,2,1,2,11,8,15,12,11,5,7,10,1,9,14,20,8,11,11,18,19,16,"Friday","January",9.79
2018-01-20,"士林","PM2.5",20,12,14,9,9,10,3,9,14,18,16,14,17,22,18,20,13,12,7,4,1,1,1,1,"Saturday","January",11.04
2018-01-21,"士林","PM2.5",6,4,9,8,5,5,6,6,10,6,12,4,8,4,8,9,11,14,10,16,9,13,10,14,"Sunday","January",8.62
2018-01-22,"士林","PM2.5",19,15,20,16,23,22,27,28,20,15,12,12,6,1,5,1,5,8,8,9,5,6,5,8,"Monday","January",12.33
2018-01-23,"士林","PM2.5",14,11,6,4,1,11,16,19,11,6,7,4,1,2,5,14,13,12,10,8,9,7,16,17,"Tuesday","January",9.33
2018-01-24,"士林","PM2.5",20,11,17,8,18,11,17,18,24,24,21,20,25,17,17,12,15,14,13,9,8,14,17,10,"Wednesday","January",15.83
2018-01-25,"士林","PM2.5",2,1,3,6,6,4,1,1,6,10,7,7,7,10,-5,1,1,1,4,4,4,1,1,1,"Thursday","January",3.5
2018-01-26,"士林","PM2.5",1,1,1,1,3,9,5,5,1,1,1,1,1,1,2,2,3,1,2,1,1,1,8,8,"Friday","January",2.54
2018-01-27,"士林","PM2.5",4,1,3,1,1,1,5,9,8,7,12,8,7,1,4,1,2,1,2,1,1,1,5,4,"Saturday","January",3.75
2018-01-28,"士林","PM2.5",12,14,14,7,5,11,22,19,14,2,1,2,1,8,4,9,1,5,2,1,3,2,2,1,"Sunday","January",6.75
2018-01-29,"士林","PM2.5",5,8,7,1,2,1,5,1,5,1,7,1,9,-5,12,12,6,3,6,7,1,5,4,4,"Monday","January",4.5
2018-01-30,"士林","PM2.5",2,5,10,8,4,1,1,1,1,1,2,1,9,5,9,8,7,1,3,5,13,6,9,3,"Tuesday","January",4.79
2018-01-31,"士林","PM2.5",2,1,1,6,5,7,4,4,5,4,5,4,4,2,4,6,9,7,7,3,2,2,2,4,"Wednesday","January",4.17
2018-02-01,"士林","PM2.5",3,3,2,9,11,8,5,18,29,42,43,49,49,47,46,39,33,23,21,54,58,47,8,1,"Thursday","February",27
