"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-01-01,"大同","PM2.5",20,19,22,16,17,16,17,21,17,22,17,21,21,23,25,23,23,30,39,40,31,32,27,28,"Monday","January",23.62
2018-01-02,"大同","PM2.5",19,21,17,14,12,8,10,10,12,16,10,14,15,21,12,10,8,9,12,7,18,16,23,18,"Tuesday","January",13.83
2018-01-03,"大同","PM2.5",18,14,14,12,15,8,12,9,13,8,9,6,10,9,12,7,7,13,14,15,6,6,5,7,"Wednesday","January",10.38
2018-01-04,"大同","PM2.5",8,7,9,8,6,6,7,9,11,11,18,30,40,50,42,40,27,26,21,20,14,11,7,10,"Thursday","January",18.25
2018-01-05,"大同","PM2.5",9,10,9,10,7,6,13,12,14,13,15,11,4,5,6,12,10,9,1,9,11,13,8,3,"Friday","January",9.17
2018-01-06,"大同","PM2.5",2,1,3,6,3,6,1,6,3,4,1,8,7,9,2,3,3,6,6,6,5,9,8,10,"Saturday","January",4.92
2018-01-07,"大同","PM2.5",6,7,6,4,3,1,4,2,2,1,4,4,10,8,11,5,6,7,7,8,9,7,6,2,"Sunday","January",5.42
2018-01-08,"大同","PM2.5",6,7,7,7,2,2,1,4,6,10,12,13,17,17,17,11,8,10,10,7,3,5,6,6,"Monday","January",8.08
2018-01-09,"大同","PM2.5",1,1,2,11,8,17,11,15,12,17,23,21,29,26,33,32,32,34,29,32,27,26,25,27,"Tuesday","January",20.46
2018-01-10,"大同","PM2.5",27,23,21,13,10,6,12,14,17,20,-3,12,10,6,13,15,24,17,23,12,20,14,21,18,"Wednesday","January",15.21
2018-01-11,"大同","PM2.5",21,12,12,12,17,16,15,15,22,21,16,17,15,19,15,22,22,25,21,21,18,17,14,13,"Thursday","January",17.42
2018-01-12,"大同","PM2.5",10,14,12,11,7,7,10,12,16,19,20,23,22,27,24,31,36,40,33,28,23,20,17,21,"Friday","January",20.12
2018-01-13,"大同","PM2.5",18,12,17,22,22,12,6,12,13,16,16,15,16,12,12,11,6,6,7,14,12,9,10,8,"Saturday","January",12.67
2018-01-14,"大同","PM2.5",10,14,15,15,3,10,10,18,14,10,7,6,6,1,2,3,7,4,10,9,12,6,9,9,"Sunday","January",8.75
2018-01-15,"大同","PM2.5",7,4,1,5,2,5,4,4,8,7,13,9,12,15,13,12,4,6,4,8,11,12,11,11,"Monday","January",7.83
2018-01-16,"大同","PM2.5",16,16,18,16,15,12,16,24,23,24,25,29,30,28,30,30,31,29,27,27,34,32,25,17,"Tuesday","January",23.92
2018-01-17,"大同","PM2.5",17,20,16,18,17,23,29,39,40,34,30,28,26,22,22,23,23,22,25,28,29,21,24,23,"Wednesday","January",24.96
2018-01-18,"大同","PM2.5",17,11,10,14,11,11,11,18,13,20,14,-3,18,15,17,17,17,20,19,18,13,14,11,12,"Thursday","January",14.08
2018-01-19,"大同","PM2.5",6,5,3,2,6,4,10,10,11,10,8,3,6,13,21,19,23,20,20,23,27,34,37,34,"Friday","January",14.79
2018-01-20,"大同","PM2.5",26,17,14,14,11,13,15,18,23,21,22,23,32,38,37,32,30,23,21,17,15,13,6,9,"Saturday","January",20.42
2018-01-21,"大同","PM2.5",9,17,17,19,11,9,2,7,6,17,13,10,4,5,8,8,14,11,12,11,19,22,23,23,"Sunday","January",12.38
2018-01-22,"大同","PM2.5",25,22,20,14,23,21,30,25,28,24,23,19,14,14,16,13,11,10,12,14,21,20,17,9,"Monday","January",18.54
2018-01-23,"大同","PM2.5",7,7,5,6,5,9,10,13,16,15,14,10,12,13,17,20,17,16,10,14,12,12,16,18,"Tuesday","January",12.25
2018-01-24,"大同","PM2.5",25,21,23,16,15,21,26,31,29,27,28,29,27,21,17,24,28,22,17,14,17,11,11,12,"Wednesday","January",21.33
2018-01-25,"大同","PM2.5",14,11,7,7,9,10,12,11,12,10,15,9,9,2,-3,1,7,14,16,13,12,16,12,12,"Thursday","January",9.92
2018-01-26,"大同","PM2.5",9,11,7,7,3,5,4,10,9,14,13,15,8,8,5,8,8,13,10,4,6,7,10,7,"Friday","January",8.38
2018-01-27,"大同","PM2.5",6,7,5,10,6,7,5,4,6,4,3,1,6,7,4,2,5,5,8,6,7,4,1,4,"Saturday","January",5.12
2018-01-28,"大同","PM2.5",11,17,19,18,20,23,20,17,10,7,6,11,8,6,7,9,11,8,9,17,13,16,7,7,"Sunday","January",12.38
2018-01-29,"大同","PM2.5",6,4,4,5,4,8,4,5,6,5,7,7,8,5,5,9,12,16,15,18,21,22,20,17,"Monday","January",9.71
2018-01-30,"大同","PM2.5",11,11,8,10,11,6,7,3,4,8,11,13,8,12,10,12,5,6,10,11,17,11,13,9,"Tuesday","January",9.46
2018-01-31,"大同","PM2.5",10,11,10,11,6,9,7,16,11,9,6,12,17,19,17,-3,18,18,22,15,12,11,9,8,"Wednesday","January",11.71
2018-02-01,"大同","PM2.5",5,3,7,5,11,9,18,19,20,29,32,48,43,43,40,38,42,35,38,35,25,19,12,19,"Thursday","February",24.79
2018-02-02,"大同","PM2.5",11,12,6,7,3,2,5,13,21,21,17,16,18,21,22,16,13,8,12,8,8,13,16,19,"Friday","February",12.83
2018-02-03,"大同","PM2.5",16,21,25,25,23,23,34,37,35,32,34,35,30,29,24,24,17,17,15,15,13,7,9,11,"Saturday","February",22.96
2018-02-04,"大同","PM2.5",16,15,16,12,6,6,10,13,20,18,17,8,9,11,12,16,12,9,7,15,17,14,7,8,"Sunday","February",12.25
2018-02-05,"大同","PM2.5",7,8,3,6,7,12,16,15,12,14,15,15,13,15,21,20,21,27,29,29,22,26,29,26,"Monday","February",17
2018-02-06,"大同","PM2.5",24,17,23,20,23,23,21,22,23,25,25,24,32,30,31,28,30,31,29,35,34,38,36,34,"Tuesday","February",27.42
2018-02-07,"大同","PM2.5",32,29,27,25,27,23,21,19,20,23,18,17,12,14,13,16,15,21,21,23,23,24,23,15,"Wednesday","February",20.88
2018-02-08,"大同","PM2.5",18,19,23,15,10,7,8,13,17,17,15,14,16,19,21,25,23,24,23,25,22,20,17,17,"Thursday","February",17.83
2018-02-09,"大同","PM2.5",16,12,9,2,6,11,17,21,26,26,25,17,17,646,21,21,23,29,40,43,47,40,44,35,"Friday","February",49.75
2018-02-10,"大同","PM2.5",33,28,25,23,24,27,29,31,29,31,27,32,39,18,6,8,14,12,17,19,16,15,6,9,"Saturday","February",21.58
2018-02-11,"大同","PM2.5",6,13,17,17,17,11,10,6,9,10,14,18,25,25,27,25,29,37,34,34,23,30,29,34,"Sunday","February",20.83
2018-02-12,"大同","PM2.5",24,24,24,31,27,28,22,31,29,31,21,23,20,28,32,34,33,31,34,37,32,23,20,16,"Monday","February",27.29
2018-02-13,"大同","PM2.5",20,15,20,16,23,22,33,27,35,29,32,22,23,20,19,17,17,23,23,25,23,21,19,17,"Tuesday","February",22.54
2018-02-14,"大同","PM2.5",17,18,17,17,18,13,13,17,19,19,22,28,27,24,28,36,34,31,31,34,40,32,31,25,"Wednesday","February",24.62
2018-02-15,"大同","PM2.5",28,34,39,41,36,32,23,20,20,26,33,32,26,20,23,26,29,23,33,32,41,40,42,41,"Thursday","February",30.83
2018-02-16,"大同","PM2.5",37,38,37,42,39,35,38,44,51,54,52,46,46,40,41,35,42,41,39,36,41,40,42,27,"Friday","February",40.96
2018-02-17,"大同","PM2.5",23,12,12,15,13,13,13,15,17,15,15,23,22,21,17,18,17,16,14,17,12,13,13,21,"Saturday","February",16.12
2018-02-18,"大同","PM2.5",19,15,9,8,10,10,12,15,21,22,25,22,28,26,29,34,40,42,37,33,34,40,47,57,"Sunday","February",26.46
2018-02-19,"大同","PM2.5",47,45,37,35,29,18,23,22,20,22,29,639,38,34,30,35,41,43,35,29,28,32,47,51,"Monday","February",58.71
2018-02-20,"大同","PM2.5",53,46,46,46,34,29,23,24,17,12,11,14,15,13,15,14,17,17,18,19,20,20,18,22,"Tuesday","February",23.46
2018-02-22,"大同","PM2.5",9,7,6,9,9,12,12,11,13,13,11,6,9,7,8,9,17,21,19,16,17,16,17,14,"Thursday","February",12
2018-02-23,"大同","PM2.5",14,17,14,21,15,19,18,29,25,21,18,19,28,28,33,26,26,29,29,28,22,23,23,22,"Friday","February",22.79
2018-02-24,"大同","PM2.5",21,20,23,25,28,29,29,35,41,43,39,31,29,35,41,47,42,36,33,39,43,48,46,45,"Saturday","February",35.33
2018-02-25,"大同","PM2.5",40,34,32,30,25,24,23,19,23,25,29,18,9,3,9,10,14,7,17,18,23,15,9,11,"Sunday","February",19.46
2018-02-26,"大同","PM2.5",12,12,9,12,9,7,7,12,17,15,23,17,20,12,17,19,23,23,23,19,19,20,16,13,"Monday","February",15.67
2018-02-27,"大同","PM2.5",11,10,17,17,22,14,17,17,23,20,19,19,19,19,28,34,30,30,30,36,42,46,47,43,"Tuesday","February",25.42
2018-02-28,"大同","PM2.5",40,40,51,52,51,45,50,51,50,41,47,44,50,29,13,21,15,17,22,24,35,39,40,37,"Wednesday","February",37.67
