"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-01-01,"松山","PM2.5",25,15,23,17,25,17,22,18,24,22,20,17,21,23,17,16,15,28,32,37,33,32,29,30,"Monday","January",23.25
2018-01-02,"松山","PM2.5",21,17,5,1,5,11,10,14,14,14,12,16,15,7,5,11,15,17,17,17,15,11,11,3,"Tuesday","January",11.83
2018-01-03,"松山","PM2.5",1,4,8,11,6,11,5,8,6,13,16,17,11,10,6,14,13,15,15,11,14,5,14,4,"Wednesday","January",9.92
2018-01-04,"松山","PM2.5",13,6,9,1,1,1,6,13,19,15,17,20,43,51,60,51,45,28,18,11,7,13,7,17,"Thursday","January",19.67
2018-01-06,"松山","PM2.5",4,10,4,1,1,2,3,2,1,1,5,5,2,4,6,9,7,5,3,7,11,16,8,2,"Saturday","January",4.96
2018-01-07,"松山","PM2.5",6,6,6,1,6,7,17,6,10,4,8,10,12,10,8,6,9,4,2,1,2,1,8,9,"Sunday","January",6.62
2018-01-08,"松山","PM2.5",17,9,4,1,1,2,1,7,8,8,5,5,5,9,10,16,9,15,9,11,1,4,1,1,"Monday","January",6.62
2018-01-09,"松山","PM2.5",1,1,1,5,13,14,11,11,18,18,20,22,29,30,27,30,33,35,38,37,29,22,15,21,"Tuesday","January",20.04
2018-01-10,"松山","PM2.5",18,21,20,22,18,17,15,20,20,26,23,19,10,-4,1,8,10,15,11,8,11,14,16,8,"Wednesday","January",14.46
2018-01-11,"松山","PM2.5",16,12,15,7,12,12,12,10,16,16,17,11,7,4,12,15,16,11,18,15,16,9,13,10,"Thursday","January",12.58
2018-01-12,"松山","PM2.5",10,7,14,14,14,3,5,5,9,14,21,28,30,25,23,21,26,23,23,18,20,17,15,10,"Friday","January",16.46
2018-01-13,"松山","PM2.5",5,1,2,1,9,10,9,4,3,5,5,3,1,1,1,7,5,6,3,5,8,5,9,4,"Saturday","January",4.67
2018-01-14,"松山","PM2.5",6,11,17,15,11,8,8,6,3,7,9,12,8,3,1,9,11,9,9,6,3,1,7,9,"Sunday","January",7.88
2018-01-15,"松山","PM2.5",5,8,10,13,6,10,6,6,1,5,5,5,2,5,7,5,3,10,7,16,12,17,6,1,"Monday","January",7.12
2018-01-16,"松山","PM2.5",3,5,10,5,3,9,12,12,4,11,16,18,16,24,32,41,35,31,23,25,30,31,38,41,"Tuesday","January",19.79
2018-01-17,"松山","PM2.5",33,26,12,16,9,8,10,15,25,24,24,16,17,17,22,20,21,24,28,28,28,23,21,14,"Wednesday","January",20.04
2018-01-18,"松山","PM2.5",12,7,4,5,7,14,11,11,11,12,10,8,4,7,-4,7,9,13,12,13,9,9,3,1,"Thursday","January",8.12
2018-01-19,"松山","PM2.5",1,1,4,1,1,4,4,10,6,13,7,10,5,15,7,6,16,21,19,18,25,29,31,23,"Friday","January",11.54
2018-01-20,"松山","PM2.5",14,16,14,20,14,14,16,25,21,18,10,18,21,27,31,32,28,20,20,21,17,13,9,10,"Saturday","January",18.71
