"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-01-01,"萬華","PM2.5",18,21,17,17,10,-5,14,23,22,23,23,17,17,19,26,27,30,27,27,30,36,37,26,21,"Monday","January",21.79
2018-01-03,"萬華","PM2.5",5,9,4,16,8,10,8,10,9,8,9,8,3,7,9,7,5,7,13,14,11,4,5,3,"Wednesday","January",8
2018-01-04,"萬華","PM2.5",3,5,5,9,1,4,5,8,9,10,18,29,42,48,53,45,39,33,26,20,9,8,4,6,"Thursday","January",18.29
2018-01-05,"萬華","PM2.5",9,11,7,2,6,10,10,6,3,10,7,9,8,5,11,8,12,4,1,1,1,1,1,1,"Friday","January",6
2018-01-06,"萬華","PM2.5",1,1,3,1,2,1,3,1,3,5,4,2,5,3,6,1,2,2,1,1,3,3,4,1,"Saturday","January",2.46
2018-01-07,"萬華","PM2.5",2,2,4,3,6,4,5,8,8,8,3,6,11,8,12,3,5,1,2,1,5,7,4,9,"Sunday","January",5.29
2018-01-08,"萬華","PM2.5",4,11,8,8,6,1,1,1,4,9,7,6,10,18,13,9,11,14,8,1,4,10,12,9,"Monday","January",7.71
2018-01-09,"萬華","PM2.5",2,1,3,10,10,4,4,12,20,23,21,22,17,23,-5,39,34,29,24,29,34,35,24,25,"Tuesday","January",18.33
2018-01-10,"萬華","PM2.5",26,27,17,12,9,13,10,13,12,18,18,17,15,7,3,6,13,13,20,13,14,8,16,15,"Wednesday","January",13.96
2018-01-11,"萬華","PM2.5",19,11,18,9,16,5,8,3,12,18,23,16,7,9,13,21,21,17,18,17,14,12,12,12,"Thursday","January",13.79
2018-01-12,"萬華","PM2.5",10,9,9,3,1,4,5,10,15,18,18,16,21,20,22,22,22,22,20,21,19,13,14,14,"Friday","January",14.5
2018-01-13,"萬華","PM2.5",21,13,11,2,8,2,3,1,9,13,16,10,4,6,4,16,13,15,14,15,15,11,9,4,"Saturday","January",9.79
2018-01-14,"萬華","PM2.5",1,6,10,11,7,5,6,7,5,7,7,7,3,2,3,1,6,6,11,6,10,3,1,1,"Sunday","January",5.5
2018-01-15,"萬華","PM2.5",3,10,5,3,1,1,2,1,5,3,-5,3,1,9,9,11,6,12,11,8,7,5,5,10,"Monday","January",5.25
2018-01-16,"萬華","PM2.5",9,14,8,12,19,15,16,9,11,9,10,18,26,26,31,24,30,26,32,31,30,32,26,26,"Tuesday","January",20.42
2018-01-17,"萬華","PM2.5",20,17,21,10,7,11,26,43,35,36,30,31,22,18,19,18,25,22,29,20,27,16,16,12,"Wednesday","January",22.12
2018-01-18,"萬華","PM2.5",12,16,5,11,12,15,18,20,19,11,6,8,17,17,16,11,12,13,10,8,10,6,4,1,"Thursday","January",11.58
2018-01-19,"萬華","PM2.5",1,1,1,3,3,7,1,1,1,5,10,7,9,10,14,16,16,15,17,14,28,28,30,24,"Friday","January",10.92
2018-01-20,"萬華","PM2.5",20,21,20,22,22,17,20,15,23,24,21,16,20,25,33,29,37,24,19,13,14,7,8,10,"Saturday","January",20
2018-01-21,"萬華","PM2.5",14,16,19,14,13,6,10,6,10,12,8,8,8,11,8,8,15,18,16,19,22,22,15,13,"Sunday","January",12.96
2018-01-22,"萬華","PM2.5",20,23,21,14,17,19,26,19,25,17,20,10,11,2,2,6,13,17,14,11,11,14,11,12,"Monday","January",14.79
2018-01-23,"萬華","PM2.5",9,14,13,12,17,10,13,2,14,15,28,19,12,13,13,15,7,10,12,10,9,13,16,18,"Tuesday","January",13.08
2018-01-24,"萬華","PM2.5",19,18,18,14,21,19,23,22,32,32,29,-5,-5,31,25,23,16,19,18,28,21,25,12,12,"Wednesday","January",19.46
2018-01-25,"萬華","PM2.5",2,6,8,12,14,6,8,3,11,13,12,6,2,1,5,7,14,10,10,5,11,13,13,13,"Thursday","January",8.54
2018-01-26,"萬華","PM2.5",4,4,1,4,3,9,3,11,5,9,4,6,9,10,8,8,3,6,1,8,7,11,2,10,"Friday","January",6.08
2018-01-27,"萬華","PM2.5",5,7,4,6,9,7,7,1,5,4,14,5,11,1,3,1,8,9,10,1,1,2,2,10,"Saturday","January",5.54
2018-01-28,"萬華","PM2.5",12,18,19,15,19,20,21,17,16,10,5,1,6,9,10,7,2,1,2,2,8,3,9,1,"Sunday","January",9.71
2018-01-29,"萬華","PM2.5",3,1,2,1,1,2,4,8,1,3,1,6,5,11,5,15,12,14,10,16,22,23,18,13,"Monday","January",8.21
2018-01-30,"萬華","PM2.5",15,18,18,10,10,7,2,1,3,3,3,1,8,6,5,2,3,8,7,10,8,6,7,6,"Tuesday","January",6.96
2018-01-31,"萬華","PM2.5",6,1,1,2,5,2,10,8,16,13,18,16,9,10,4,15,12,16,10,4,7,4,6,1,"Wednesday","January",8.17
2018-02-01,"萬華","PM2.5",1,2,8,8,7,3,7,12,27,28,32,37,49,53,50,44,43,40,41,38,32,20,15,12,"Thursday","February",25.38
2018-02-02,"萬華","PM2.5",13,12,14,14,7,14,9,14,11,18,22,17,16,8,10,7,12,7,8,6,12,18,24,25,"Friday","February",13.25
2018-02-03,"萬華","PM2.5",18,18,14,24,20,33,40,48,39,33,29,35,29,35,30,30,26,23,19,13,3,6,4,16,"Saturday","February",24.38
2018-02-04,"萬華","PM2.5",12,20,8,13,16,20,15,7,7,11,12,7,2,1,3,4,8,8,11,12,14,11,6,1,"Sunday","February",9.54
2018-02-05,"萬華","PM2.5",1,1,1,1,1,3,9,14,14,12,11,14,14,17,18,15,14,19,22,21,18,18,20,15,"Monday","February",12.21
2018-02-06,"萬華","PM2.5",14,12,10,17,11,18,14,26,20,23,19,28,26,26,776,512,584,611,134,53,17,106,106,159,"Tuesday","February",138.42
2018-02-09,"萬華","PM2.5",13,16,6,9,6,5,6,8,12,13,12,8,5,18,33,38,31,27,34,34,36,32,26,23,"Friday","February",18.79
2018-02-10,"萬華","PM2.5",23,30,33,27,26,21,21,21,18,21,24,41,37,29,9,7,4,9,6,9,6,10,7,5,"Saturday","February",18.5
2018-02-11,"萬華","PM2.5",4,5,3,4,9,10,11,6,7,13,14,19,17,25,31,26,27,31,33,27,23,24,26,30,"Sunday","February",17.71
2018-02-12,"萬華","PM2.5",29,24,18,18,23,25,30,25,23,16,19,19,20,19,27,37,35,29,24,31,20,22,17,22,"Monday","February",23.83
2018-02-13,"萬華","PM2.5",18,20,20,19,21,23,16,15,20,27,23,16,9,12,13,18,21,26,25,27,16,20,14,17,"Tuesday","February",19
2018-02-14,"萬華","PM2.5",20,15,12,9,15,16,8,8,10,20,15,16,16,25,29,26,29,31,40,33,26,19,25,33,"Wednesday","February",20.67
2018-02-15,"萬華","PM2.5",32,31,33,34,27,23,17,17,16,28,31,36,26,25,18,27,24,23,26,29,35,31,43,43,"Thursday","February",28.12
2018-02-16,"萬華","PM2.5",40,37,34,33,34,32,34,27,31,37,35,43,33,39,29,34,33,43,39,44,38,38,32,24,"Friday","February",35.12
2018-02-17,"萬華","PM2.5",17,14,11,18,15,10,13,14,16,15,13,11,15,13,17,15,15,19,10,17,12,14,17,17,"Saturday","February",14.5
2018-02-18,"萬華","PM2.5",20,12,18,14,11,6,6,17,24,30,26,24,23,22,25,33,33,33,31,43,48,41,43,28,"Sunday","February",25.46
