"Date","測站","測項","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","WeekDay","Month","meansValue"
2018-01-01,"陽明","PM2.5",7,11,15,15,13,17,12,9,19,22,22,23,21,7,3,2,4,4,3,2,3,3,4,2,"Monday","January",10.12
2018-01-02,"陽明","PM2.5",2,1,1,2,4,4,6,3,11,13,9,7,4,9,7,9,9,10,9,9,9,7,6,6,"Tuesday","January",6.54
2018-01-03,"陽明","PM2.5",7,7,5,5,4,5,5,10,10,12,5,9,7,7,6,7,6,6,5,6,5,5,3,4,"Wednesday","January",6.29
2018-01-04,"陽明","PM2.5",4,3,3,3,3,3,1,5,3,7,9,13,26,33,41,41,34,22,21,1,1,5,4,5,"Thursday","January",12.12
2018-01-05,"陽明","PM2.5",1,2,10,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Friday","January",1.71
2018-01-06,"陽明","PM2.5",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,"Saturday","January",1.21
2018-01-07,"陽明","PM2.5",1,1,1,1,1,1,-4,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,"Sunday","January",0.92
2018-01-08,"陽明","PM2.5",1,1,2,4,1,1,1,2,2,2,1,2,3,1,1,1,1,-7,-5,-4,1,1,1,1,"Monday","January",0.62
2018-01-09,"陽明","PM2.5",1,1,1,1,1,10,14,13,24,21,21,24,30,30,25,26,21,14,19,17,19,16,21,21,"Tuesday","January",16.29
2018-01-10,"陽明","PM2.5",19,21,22,22,22,22,20,16,15,14,10,7,4,7,7,11,10,10,10,12,11,11,11,11,"Wednesday","January",13.54
2018-01-11,"陽明","PM2.5",11,11,13,11,12,12,17,14,14,15,16,13,13,13,13,15,13,12,11,10,10,9,7,6,"Thursday","January",12.12
2018-01-12,"陽明","PM2.5",9,7,9,7,9,7,12,13,15,16,17,-3,1,1,21,17,20,15,12,7,9,6,4,3,"Friday","January",9.75
2018-01-13,"陽明","PM2.5",5,5,6,5,6,6,4,6,6,4,3,3,1,3,1,3,2,2,3,3,3,2,2,3,"Saturday","January",3.62
2018-01-14,"陽明","PM2.5",2,3,2,3,2,2,4,4,5,4,7,3,1,5,3,6,2,1,1,3,4,3,4,2,"Sunday","January",3.17
2018-01-16,"陽明","PM2.5",4,3,4,5,6,7,11,9,10,11,12,21,17,14,7,17,2,4,3,4,3,1,2,3,"Tuesday","January",7.5
2018-01-17,"陽明","PM2.5",2,3,4,5,5,7,9,9,11,9,4,12,22,15,19,20,15,10,2,3,2,1,2,1,"Wednesday","January",8
2018-01-19,"陽明","PM2.5",1,1,1,1,1,2,2,1,2,2,3,1,2,3,3,4,3,2,1,3,5,5,4,1,"Friday","January",2.25
2018-01-21,"陽明","PM2.5",2,1,1,2,2,2,1,2,1,2,2,6,4,9,6,3,6,3,5,2,2,3,11,15,"Sunday","January",3.88
2018-01-22,"陽明","PM2.5",14,9,9,12,12,16,9,3,2,1,1,6,9,6,6,9,6,9,9,6,6,7,5,5,"Monday","January",7.38
2018-01-23,"陽明","PM2.5",4,2,1,1,4,5,4,4,9,10,9,7,7,3,3,3,2,2,2,2,2,2,3,1,"Tuesday","January",3.83
2018-01-26,"陽明","PM2.5",2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Friday","January",1.17
2018-01-27,"陽明","PM2.5",1,1,1,1,1,2,2,2,2,1,1,1,3,4,4,4,3,4,4,3,2,2,2,2,"Saturday","January",2.21
2018-01-28,"陽明","PM2.5",2,1,1,3,5,7,5,2,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,"Sunday","January",2
2018-01-29,"陽明","PM2.5",1,1,1,1,1,3,1,3,3,2,1,2,1,1,2,4,3,4,6,3,5,5,4,2,"Monday","January",2.5
2018-01-30,"陽明","PM2.5",3,2,3,1,2,3,3,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,1,"Tuesday","January",1.67
2018-01-31,"陽明","PM2.5",1,1,1,2,1,1,1,2,2,1,1,-3,1,1,1,1,1,2,2,2,1,1,1,1,"Wednesday","January",1.08
2018-02-01,"陽明","PM2.5",1,1,1,1,1,2,3,4,5,4,6,5,5,9,10,15,6,3,4,9,3,3,2,2,"Thursday","February",4.38
2018-02-02,"陽明","PM2.5",3,1,1,3,3,4,2,2,2,1,1,3,2,1,2,3,2,4,4,10,5,5,3,9,"Friday","February",3.17
2018-02-03,"陽明","PM2.5",10,16,3,6,19,19,11,7,11,15,14,16,17,15,11,9,6,7,5,5,5,5,3,2,"Saturday","February",9.88
2018-02-04,"陽明","PM2.5",2,2,1,2,2,1,2,3,2,2,2,1,2,2,3,4,3,2,3,4,3,2,2,2,"Sunday","February",2.25
2018-02-05,"陽明","PM2.5",2,2,2,2,4,4,5,4,5,6,5,4,5,10,13,15,16,17,19,19,17,19,19,19,"Monday","February",9.71
2018-02-06,"陽明","PM2.5",20,21,17,16,16,19,15,14,15,15,15,19,16,14,17,21,19,16,16,20,21,23,19,20,"Tuesday","February",17.67
2018-02-07,"陽明","PM2.5",20,19,14,16,15,15,13,13,7,3,1,1,1,1,1,2,2,1,2,3,2,2,3,3,"Wednesday","February",6.67
2018-02-08,"陽明","PM2.5",3,3,2,4,1,1,2,3,10,11,12,12,12,13,13,14,14,14,13,9,6,6,5,3,"Thursday","February",7.75
2018-02-09,"陽明","PM2.5",2,2,4,2,1,2,2,3,2,2,1,1,1,1,1,2,3,2,1,2,2,1,1,1,"Friday","February",1.75
2018-02-10,"陽明","PM2.5",2,2,1,1,1,3,3,3,3,4,3,1,-4,1,1,1,1,2,2,3,3,4,3,2,"Saturday","February",1.92
2018-02-11,"陽明","PM2.5",2,1,2,2,2,2,2,4,5,7,10,14,19,14,10,17,19,13,9,6,12,21,22,22,"Sunday","February",9.88
2018-02-12,"陽明","PM2.5",22,23,22,22,22,21,22,22,23,24,24,23,25,28,30,32,35,30,23,19,17,19,19,20,"Monday","February",23.62
2018-02-13,"陽明","PM2.5",21,22,22,23,24,24,24,24,24,24,23,22,21,20,20,15,16,20,19,16,16,16,14,12,"Tuesday","February",20.08
2018-02-14,"陽明","PM2.5",11,10,5,12,9,15,15,21,17,13,14,13,14,13,16,14,13,11,21,20,22,20,17,17,"Wednesday","February",14.71
2018-02-15,"陽明","PM2.5",15,15,17,24,22,15,21,19,13,10,9,4,6,14,11,15,14,14,10,9,7,6,7,6,"Thursday","February",12.62
2018-02-16,"陽明","PM2.5",7,7,9,10,15,13,14,17,16,10,14,15,15,12,7,6,6,6,6,10,11,7,1,1,"Friday","February",9.79
2018-02-17,"陽明","PM2.5",1,2,3,2,2,2,2,3,3,1,1,1,1,1,2,2,3,5,9,12,11,10,12,11,"Saturday","February",4.25
2018-02-18,"陽明","PM2.5",10,9,9,7,6,6,7,10,9,12,14,12,19,17,23,17,20,16,11,15,17,12,10,12,"Sunday","February",12.5
